# Segments csv created Sun Mar  5 10:54:31 2017,,
# num_ytids=22160, num_segs=22160, num_unique_labels=527
YTID,start_seconds,end_seconds
#NAME?,30,40
#NAME?,50,60
#NAME?,0,10
#NAME?,30,40
#NAME?,200,210
#NAME?,30,40
#NAME?,30,40
-0DLPzsiXXE,30,40
-0DdlOuIFUI,50,60
-0FHUc78Gqo,30,40
-0O3e95y4gE,100,110
-0SdAVK79lg,30,40
-0Vl4HyWRk8,410,420
-0mG4W5Hlq8,270,280
-0mjrMposBM,80,90
-11LhdJgBb8,30,40
-1LrH01Ei1w,30,40
-1TLtjPtnms,10,20
-1iKLvsRBbE,80,90
-24dqQM_rDk,30,40
-275_wTLm-4,7,17
-28U1_qW0sU,30,40
-2PDE7hUArE,30,40
-2X03mO3T_U,30,40
-2hQKCE-oTI,30,40
-30H9V1IKps,6,16
-38Qgsbh7NQ,100,110
-3HYdaJyF4U,30,40
-3IGxVTJvgI,30,40
-3IYpJfLVJk,30,40
-3hKkjKmIGE,30,40
-3pPrlCm6gg,30,40
-4NLarMj4xU,30,40
-4RWqM0UCCY,0,10
-4hZyOdm7EI,200,210
-4xJv59_zcA,30,40
#NAME?,30,40
-5DdYkYOjy0,30,40
-5GhUbDLYkQ,16,26
-5Jlimvsuwo,90,100
-5Kk-m7BmiE,21,31
-5S70zOSw30,30,40
-5f6hjZf9Yw,30,40
-5xOcMJpTUk,70,80
-60XojQWWoc,30,40
-64xnyOswXA,120,130
-693sNKI3iM,30,40
-6QGvxvaTkI,280,290
-6RN8skIHU4,20,30
-6fxJZ7CW00,30,40
-6gC_nlUBfA,60,70
-6krAYK2LLo,30,40
-6pcgdLfb_A,110,120
-6sgMgtW91g,20,30
-6x2PtSRfJU,30,40
-70MzkgSsHQ,30,40
-70wVF5u-gg,30,40
-75IwDlkzDQ,30,40
-76P3VHPuus,10,20
-7J4109yM7w,30,40
-7QVE8o9uk4,30,40
-7WpTk5AHfk,30,40
-7aibH1LKwI,90,100
-7wUQP6G5EQ,30,40
-7ye24UFRng,0,10
-7z662AsuTE,380,390
-82vJ9bcar4,40,50
-8CrCItCO24,30,40
-8Ezw9946g8,100,110
-8H4GKg-mYQ,30,40
-8S_tLKfeJg,200,210
-8_HpHg6nCw,30,40
-8fQePz4FcE,30,40
-8n2NqDFRko,30,40
-8wQV7VJnmM,30,40
-92cYmTgIjM,190,200
-99daJhXYJY,30,40
-9ME9qMgkeY,270,280
-9Nl3LZBCOo,200,210
-9c1c8G_WO8,24,34
-9ek6eO0RtI,260,270
-9wxcZf43a4,530,540
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,80,90
#NAME?,30,40
#NAME?,0,10
#NAME?,180,190
#NAME?,30,40
#NAME?,410,420
#NAME?,150,160
#NAME?,450,460
#NAME?,70,80
#NAME?,30,40
#NAME?,30,40
-C5dEU4zpJg,30,40
#NAME?,30,40
#NAME?,250,260
#NAME?,30,40
#NAME?,170,180
#NAME?,30,40
#NAME?,30,40
-DLL8LaKq-c,19,29
#NAME?,30,40
#NAME?,300,310
#NAME?,30,40
#NAME?,40,50
#NAME?,220,230
#NAME?,290,300
#NAME?,290,300
#NAME?,30,40
#NAME?,270,280
#NAME?,40,50
#NAME?,410,420
#NAME?,10,20
#NAME?,20,30
#NAME?,40,50
#NAME?,30,40
#NAME?,240,250
#NAME?,30,40
#NAME?,220,230
#NAME?,30,40
#NAME?,5,15
#NAME?,260,270
#NAME?,190,200
#NAME?,540,550
#NAME?,90,100
#NAME?,200,210
-Fby-7z_JpE,0,8
#NAME?,90,100
#NAME?,210,220
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,10,20
#NAME?,60,70
#NAME?,280,290
#NAME?,30,40
#NAME?,130,140
#NAME?,30,40
#NAME?,10,20
#NAME?,4,14
#NAME?,30,40
#NAME?,30,40
#NAME?,170,180
#NAME?,30,40
#NAME?,240,250
#NAME?,500,510
#NAME?,30,40
#NAME?,420,430
#NAME?,3,13
#NAME?,30,40
#NAME?,110,120
#NAME?,490,500
#NAME?,150,160
#NAME?,330,340
#NAME?,30,40
#NAME?,0,10
#NAME?,70,80
#NAME?,30,40
#NAME?,10,20
#NAME?,30,40
#NAME?,30,40
#NAME?,10,20
#NAME?,530,540
#NAME?,30,40
#NAME?,60,70
#NAME?,150,160
#NAME?,190,200
#NAME?,80,90
#NAME?,270,280
#NAME?,430,440
#NAME?,30,40
-M-6VinyMiY,30,40
#NAME?,30,40
#NAME?,0,10
#NAME?,130,140
#NAME?,50,60
#NAME?,320,330
#NAME?,30,40
#NAME?,30,40
#NAME?,0,5
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,50,60
#NAME?,420,430
#NAME?,0,6
#NAME?,0,10
#NAME?,30,40
#NAME?,50,60
#NAME?,0,10
-OYfLX-2kmU,30,40
-OaOY7-71ME,90,100
#NAME?,100,110
#NAME?,0,9
#NAME?,210,220
#NAME?,20,30
#NAME?,30,40
#NAME?,170,180
#NAME?,260,270
#NAME?,15,25
#NAME?,0,10
#NAME?,100,110
#NAME?,30,40
-R0267o4lLk,60,70
-R9gJXtS07g,0,10
#NAME?,70,80
#NAME?,30,40
#NAME?,30,40
#NAME?,500,510
#NAME?,6,16
#NAME?,30,40
#NAME?,40,50
#NAME?,30,40
#NAME?,30,40
#NAME?,9,19
#NAME?,23,33
#NAME?,30,40
#NAME?,30,40
#NAME?,40,50
#NAME?,30,40
#NAME?,6,16
#NAME?,30,40
#NAME?,13,23
#NAME?,200,210
#NAME?,30,40
#NAME?,100,110
#NAME?,0,10
#NAME?,50,60
#NAME?,0,10
#NAME?,30,40
#NAME?,60,70
#NAME?,30,40
#NAME?,340,350
#NAME?,30,40
#NAME?,350,360
#NAME?,80,90
#NAME?,160,170
#NAME?,360,370
#NAME?,30,40
#NAME?,350,360
#NAME?,80,90
#NAME?,30,40
#NAME?,40,50
#NAME?,30,40
#NAME?,110,120
#NAME?,30,40
-WmL01c-4ZE,20,30
#NAME?,30,40
#NAME?,30,40
#NAME?,20,30
#NAME?,30,40
#NAME?,270,280
#NAME?,30,40
#NAME?,90,100
#NAME?,30,40
#NAME?,50,60
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,190,200
-YGmAv-5bYk,30,40
#NAME?,10,20
#NAME?,0,10
#NAME?,30,40
#NAME?,240,250
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,70,80
#NAME?,180,190
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,20,30
#NAME?,30,40
#NAME?,0,10
#NAME?,50,60
#NAME?,30,40
#NAME?,210,220
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,0,10
#NAME?,270,280
#NAME?,23,33
#NAME?,250,260
#NAME?,30,40
#NAME?,120,130
#NAME?,30,40
-dUX-8UM_jo,30,40
#NAME?,260,270
#NAME?,220,230
#NAME?,270,280
#NAME?,160,170
#NAME?,25,35
#NAME?,30,40
#NAME?,30,40
#NAME?,110,120
#NAME?,290,300
#NAME?,0,10
#NAME?,30,40
#NAME?,0,10
#NAME?,0,10
#NAME?,12,22
#NAME?,340,350
#NAME?,140,150
#NAME?,40,50
#NAME?,70,80
#NAME?,30,40
#NAME?,40,50
#NAME?,30,40
#NAME?,30,40
#NAME?,20,30
#NAME?,20,30
